hometown,count
"Coldwater, Mich.",1
"Coldwater, Ohio",2
"Colerain, N.c.",1
"Colgate, Wis.",2
"Colgate, Wisc.",1
"College Station, Texas",4
"College Station, Tx",2
"Collegeville, Pa",1
"Collegeville, Pa.",4
"Colleyville, Texas",3
"Collierville, Tenn.",6
"Collierville, Tn",1
"Collinsville, Ill.",1
"Collinsville, Miss.",1
"Colona, Il",1
"Colona, Ill.",1
"Colonia, Nj",5
"Colorado Springs, Co",5
"Colorado Springs, Co.",1
"Colorado Springs, Col.",1
"Colorado Springs, Colo,",1
"Colorado Springs, Colo.",29
"Colorado Springs, Colorado",2
"Colton, Calif.",1
"Columbia Falls, Mt",1
"Columbia, Conn.",1
"Columbia, Md",3
"Columbia, Md.",4
"Columbia, Mo",2
"Columbia, Mo.",9
"Columbia, S.c.",6
"Columbia, Sc",1
"Columbia, Tenn.",1
"Columbia, Tn",1
"Columbiaville,  Mich.",1
Columbus,1
"Columbus Grove, Ohio",1
"Columbus, Ga",1
"Columbus, Ga.",6
"Columbus, In",1
"Columbus, Ind.",1
"Columbus, Neb.",2
"Columbus, Nj",1
"Columbus, Oh",5
"Columbus, Ohio",13
"Columbus, Pa.",1
"Columbus, Texas",1
"Columbus, Wis.",1
"Colville, Wash.",1
"Commack, N.y.",1
"Commack, Ny",1
"Commerce Charter Township, Mich.",1
"Commerce Township, Mi",1
"Commerce Township, Mich.",1
"Concord Township, Ohio",1
"Concord, N.c.",2
"Concord, Nc",1
"Conesus, Ny",1
"Conifer, Colo.",2
"Conklin, Mich.",1
"Conneaut Lake, Pa.",1
"Conneautville, Pa",1
"Connersville, In",1
"Conroe, Texas",2
"Conroe, Tx",1
"Constableville, Ny",1
"Converse, Texas",1
"Conway, Ark.",2
"Conway, S.c.",1
"Cool Ridge, W.va.",1
"Coolidge, Texas",2
"Coon Rapids, Iowa",1
"Coon Valley, Wis.",2
"Cooper, Mo.",1
"Coopersburg, Pa",1
"Coopersburg, Pa.",1
"Coopersville, Mich.",1
"Copenhagen, Denmark",2
"Copley, Ohio",1
"Coppell, Texas",5
"Coppell, Tx",1
"Copperas Cove, Texas",2
"Coquitlam, B.c.",3
"Coral Gables, Fla.",2
"Coral Springs, Fl",2
"Coral Springs, Fla.",5
"Coralville, Iowa",1
"Coraopolis, Pa",1
"Coraopolis, Pa.",2
"Corcoran, Minn.",1
"Corinth, Texas",1
Cornerstone Christian Schools,1
Corona,1
"Corona Del Mar, Calif.",1
"Corona, Ca",3
"Corona, Calif.",7
"Coronado, Ca",1
"Corozal, Puerto Rico",1
"Corpus Christi, Texas",4
"Corpus Christi, Tx",2
"Correctionville, Iowa",1
"Cortez, Colo.",1
"Cortland Manor, Ny",1
"Cortland, N.y.",1
"Cortland, Neb.",1
"Cortland, Ohio",1
"Cortlandt Manor, N.y.",2
"Cortlandt Manor, Ny",1
"Corunna, Mich.",1
"Corvallis, Mont.",1
"Cos Cob, Conn.",1
Costa Mesa,1
"Costa Mesa, Calif.",3
"Coto De Caza, Ca",1
"Cottage Grove, Minn.",1
"Cottage Grove, Wis.",1
"Coudersport, Pa",1
"Council Bluffs, Iowa",2
"Council Grove, Ks",1
"Country Club Hills, Il",1
"Coventry, Conn.",1
"Coventry, Ri",1
"Covina, Calif.",1
"Covington Township, Pa",1
"Covington, In",1
"Covington, Ky.",2
"Covington, Louisiana",1
"Covington, Pa.",1
"Covington, Va.",1
"Covington, Wa",1
"Coxs Creek, Ky.",1
"Cranberry Township, Pa",1
"Cranberry Township, Pa.",3
"Cranberry, Pa",1
"Cranbury, N.j.",1
"Crandall, Texas",2
"Cranford, N.j.",1
"Cranston, R.i.",2
"Crawford, Tx",2
"Crawfordsville, In",1
"Crawfordsville, Ind.",2
"Crawfordsville, Iowa",1
"Creedmoor, Nc",1
"Creighton, Pa",1
"Crescent Springs, Ky.",1
"Cresson, Pa.",2
"Crestline, Calif.",1
"Crestview Hills, Kentucky",1
"Crestview Hills, Ky",1
"Crestview, Fla.",2
"Crestwood, Ill.",1
"Crestwood, K.y.",1
Crivitz,1
"Crofton, Md.",4
"Cromwell, Ind.",1
"Cross Plains, Ind.",1
"Cross Plains, Tenn.",1
"Cross Plains, Wis.",2
"Crossroads, Texas",1
"Croton On Hudson, Ny",1
"Crowley, La.",1
"Crown Point, In",1
"Crown Point, Ind.",3
"Crystal Lake, Il",1
"Crystal Lake, Ill.",5
"Crystal River, Fla.",1
"Cuba, Mo.",1
"Cuero, Texas",1
"Cuero, Tx",1
"Cullman, Ala.",1
"Cullowhee, N.c.",1
"Culp Creek, Ore.",1
"Culver City, Calif.",3
"Cumberland, Md",1
"Cumberland, Wis.",1
"Cumming, Ga",1
"Cumming, Ga.",4
"Cumming, Georgia",2
"Cupertino, Calif.",4
"Custer, Wa",1
Cuyahoga Falls,1
"Cuyahoga Falls, Ohio",6
"Cypress, Calif.",3
"Cypress, Texas",19
"Cypress, Tx",1
"Dacula, Ga.",2
"Dakota Dunes, S.d.",1
"Dakota, Ill.",1
"Daleville, Va.",1
"Dallas, Ga.",2
"Dallas, Ore.",1
"Dallas, Pa",1
"Dallas, Pa.",1
"Dallas, Texas",40
"Dallas, Tx",12
"Dalton, Ga.",1
"Dalton, Pa",1
"Daly City, Calif.",1
"Damascus, Md.",1
"Dana Point, Calif.",3
"Danbury, Ct.",1
"Dannebrog, Ne",1
"Danvers, Mass.",1
"Danville, Calif.",6
"Danville, Ill.",1
"Danville, Va.",1
"Daphne, Ala.",2
"Darien, Conn.",2
"Darien, Ct",1
"Darlington, Sc",1
"Darlington, Wis.",1
"Dassel, Minn.",1
"Dassel, Mn",1
"Dauphin, Pa.",1
"Davenport, Iowa",8
"David City, Ne",1
"Davidson, N.c.",2
"Davidsville, Pa",1
"Davie County, N.c.",1
"Davie County, Nc",1
"Davie, Fla.",2
"Davis, Calif.",1
"Davis, Ill.",2
"Davisburg, Mich.",1
"Davison, Mich.",2
"Dawsonville, Ga",1
"Dawsonville, Ga.",1
"Daybrook, W. Va.",1
Dayton,1
"Dayton, Minn.",2
"Dayton, Nevada",1
"Dayton, Oh",3
"Dayton, Ohio",7
"Dayton, Tx",1
"Daytona Beach, Fl",1
De Pere,1
"De Pere, Wis.",3
"De Soto, Wis.",1
"Dearborn, Mich.",1
"Deatsville, Ala.",1
"Debary, Fla. / Lake Brantley",1
"Decatur, Ala.",1
"Decatur, Ga.",1
"Decatur, Il",1
"Decatur, Ill.",3
"Decatur, Illinois",2
"Decatur, Ind.",3
"Decatur, Texas",6
"Decatur, Tx",2
"Decorah, Iowa",5
"Deep Gap, N.c.",1
"Deep River, Conn.",1
"Deer Creek, Ill.",1
"Deer Park, Texas",3
"Deer Park, Tx",1
"Deer River, Minn.",1
"Deerfield, Ill.",1
"Defiance, Ohio",1
Deforest,1
"Deforest, Wis.",1
"Defuniak Springs, Fla.",1
"Dekalb, Ill.",1
"Del Mar, Calif.",3
"Deland, Fla.",1
"Delano, Minn.",1
"Delavan, Illinois",1
"Delaware, Ohio",4
"Delmont, Penn.",1
"Delray Beach, Fla.",4
"Demarest, N.j.",1
"Demopolis, Ala.",1
"Denmark, Wis.",1
"Dennison, Oh.",1
"Dennison, Ohio",1
"Denton, Tex.",1
"Denton, Texas",7
"Denton, Tx",3
"Denver, Co",3
"Denver, Colo",1
"Denver, Colo.",8
"Denver, Iowa",2
"Denver, N.c.",2
"Denville, N.j.",1
"Derby, Kansas",1
"Derby, Ks",1
"Derry, Pa",1
"Derwood, Md.",1
"Des Moines, Iowa",2
"Des Plaines, Ill.",4
"Desoto, Kan.",1
"Desoto, Texas",4
"Desoto, Tx",3
"Destrehan, La.",1
"Detroit Lakes, Minn.",1
"Detroit, Mich.",5
"Devine, Texas",1
"Dewitt, Iowa",1
"Dewitt, Mi",1
"Dewitt, Mich.",3
"Diamond Bar, Calif.",2
"Dickinson, Texas",3
"Dike, Ia",1
"Dike, Iowa",1
"Diller, Ne",1
"Diller, Neb.",1
"Dillsburg, Pa.",2
"Dimondale, Mich.",1
Discovery Bay,1
"Dix Hills, N.y.",1
"Dixon, Ill.",1
"Dobrich, Bulgaria",1
"Dobson, N.c.",1
"Dodd City, Texas",1
"Dodge Center, Minn.",2
"Dodge City, Kan.",1
"Dodge, Neb.",1
"Dodgeville, Wis.",1
"Doniphan, Neb.",1
"Dorado, Puerto Rico",7
"Dorr, Mich.",1
"Double Oak, Tx",1
"Douglas, Wyo.",1
"Douglaston, Ny",1
"Dousman, Wi",1
"Dousman, Wis.",1
"Dover, De",2
"Dover, Del.",2
"Dover, Fla.",1
"Dover, Ohio",1
"Downers Grove, Ill.",7
"Downington, Penn.",1
"Downingtown, Pa",2
"Downingtown, Pa.",4
"Doylestown, Pa",1
"Doylestown, Pa.",4
"Draper, Utah",3
"Drayton Valley, Alberta",1
"Drexel Hill, Pa",1
"Drexel Hill, Pa.",1
"Driftwood, Texas",1
"Dripping Springs, Texas",5
"Dry Fork, Va",1
"Dry Fork, Va.",1
"Dryden, Ny",1
"Dublin, Calif.",1
"Dublin, Oh",4
"Dublin, Ohio",6
"Dubrovnik, Croatia",1
"Dubuque, Iowa",10
"Dudley, Mass.",1
"Duluth, Ga.",1
"Duluth, Minn.",1
"Duluth, Mn",1
"Duncansville, Pa.",1
"Duncanville, Texas",2
"Dundee, Mich",1
"Dundee, Ore.",1
"Dunlap, Illinois",1
"Durand, Ill.",2
"Durango, Colo.",2
"Durant, Iowa",1
"Durham, N.c.",9
"Dyer, Ind.",1
"Dyersville, Iowa",4
"Eagan, Minn.",8
"Eagle River, Alaska",2
"Eagle River, Wis.",1
"Eagle, Idaho",1
"Eagle, Neb.",1
"Earleville, Md.",1
"Earlville, Illinois",1
"Easley, S.c.",3
"Easley, Sc",2
"East Alton, Illinois",1
"East Aurora, N.y.",2
"East Bend, N.c.",1
East Berlin,1
"East Berlin, Pa.",1
"East Brunswick, N.j.",1
"East China, Mich.",1
"East Earl, Pa",1
"East Earl, Pa.",1
"East Grand Rapids, Mich.",1
"East Greenbush, Ny",1
"East Greenwich, R.i.",2
"East Hampton, Conn.",2
"East Hampton, Ct",1
"East Hampton, N.y.",1
"East Lansing, Mich.",1
"East Liberty, Ohio",1
"East Liverpool,  Ohio",1
"East Liverpool, Oh",1
"East Liverpool, Ohio",1
"East Norriton, Pa",1
"East Orange, Nj",1
"East Palestine, Ohio",1
"East Patchogue, N.y.",1
"East Patchogue, Ny",1
"East Setauket, Ny",1
"East St. Louis, Illinois",1
"East Stroudsburg, Pa.",2
"East Troy, Wis.",1
"Eastchester, N.y.",1
"Easthampton, Ma",1
"Easthampton, Mass.",1
"Eastlake, Oh",1
"Easton, Pa",1
"Easton, Pa.",1
Eastvale,1
"Eastvale, Calif.",1
"Eaton, Colo.",3
"Eatonville, Wash.",1
"Eau Claire, Wis.",4
"Ebensbirg, Pa",1
"Ebensburg, Pa.",2
"Eden Prairie, Minn.",4
"Eden Valley, Minn.",2
"Eden, N.y.",1
"Edgerton, Minn.",1
"Edgerton, Wis.",2
"Edgewood, Iowa",1
"Edgewood, Kentucky",1
"Edgewood, Ky.",1
"Edina, Minn.",6
"Edinboro, Pa",1
"Edinboro, Pa.",1
"Edinburgh, Ind,",1
"Edison, Nj",1
"Edmond, Ok",2
"Edmond, Okla.",9
"Edmond, Oklahoma",1
"Edmonton, Alberta",1
"Edmonton, Alberta, Canada",1
"Edwards, Colorado",1
"Edwardsburg, Mich.",1
"Edwardsville, Ill.",6
"Egg Harbor City, Nj",1
"Eighty Four, Pa.",1
Eisenhower,1
El Cajon,1
"El Cerrito, Calif.",1
"El Dorado Hills, Ca",2
"El Dorado Hills, Calif.",3
"El Dorado, Kan.",1
"El Granada, Ca",1
"El Paso, Texas",30
"El Paso, Tx",3
"El Segundo, Calif.",1
"El Toro, Calif.",1
"Elberfeld, Ind.",1
"Elburn, Ill.",1
"Eldora, Iowa",1
"Eldridge, Iowa",5
"Elgin, Il",1
"Elgin, Ill.",1
"Elgin, Illinois",1
"Elizabeth, Colo.",1
"Elizabeth, Nj",4
"Elizabeth, Pa.",1
"Elizabethtown, Kentucky",1
"Elizabethtown, Ky",2
"Elizabethtown, Ky.",1
"Elizabethtown, Pa.",3
"Elk Grove, Ca",1
"Elk Grove, Calif.",1
"Elk Mound, Wis.",2
"Elk River, Minn.",3
"Elkhorn, Ne",1
"Elkhorn, Neb.",11
"Elkhorn, Wis.",1
"Elkridge, Md",1
"Elkton, Md.",2
"Ellensburg, Wash.",4
"Ellettsville, Ind.",2
"Ellicott City, Md.",8
"Elliot Lake, Ontario, Canada",1
"Elloree, S.c.",1
"Ellwood City, Pa.",1
"Elm Grove, Wis.",1
"Elmhurst, Ill.",5
"Elmhurst, Illinois",1
"Elmhurst, Ny",1
"Elmira, N.y.",2
"Elverson, Pa",1
Elyria,1
"Elyria, Oh",1
"Elyria, Ohio",1
"Emden, Ill.",1
"Emerald Isle, N.c.",1
"Eminence, Kentucky",1
"Emmaus, Pa",1
"Emory, Texas",1
"Emporia, Ks",1
"Encinitas, Ca",1
"Encinitas, Calif.",2
Endicott N.y.,1
"Endicott, N.y.",1
"Endwell, Ny",1
"Enfield, Conn.",1
"Englewood, Colo.",2
"Englewood, Fla.",1
"Ennis, Mt",1
"Enola, Pa.",1
"Enterprise, Ala.",2
"Enumclaw, Wa",1
"Ephrata, Pa.",2
"Epping, N.h.",1
"Epworth, Iowa",2
"Erie, Co",4
"Erie, Co.",1
"Erie, Colo.",2
"Erie, Colorado",1
"Erie, Mich.",1
"Erie, Pa",1
"Erie, Pa.",10
"Erie, Pennsylvania",1
"Erlanger, Ky.",1
"Escondido, Ca",1
"Escondido, Calif.",1
"Esko, Minn.",2
"Essex, Vt",1
"Essex, Vt.",1
"Etobicoke, Ont.",1
"Etowah, N.c.",1
"Eugene, Or",1
"Eugene, Ore.",3
"Eugene, Oreg.",1
"Euless, Texas",3
"Euless, Tx",3
"Eureka, Ill.",2
"Eureka, Mo",1
"Eureka, Mo.",3
"Evans, Colo.",1
"Evans, Ga.",2
"Evansdale, Iowa",1
"Evanston, Ill.",1
"Evanston, Wyo.",1
"Evansville, In",5
"Evansville, Ind.",4
"Everett, Pa.",1
"Everett, Wa",1
"Everett, Wash.",1
"Evergreen Park, Ill.",1
"Evergreen, Colo.",1
"Evington, Va.",1
"Ewa Beach, Hawai'i",1
"Ewa Beach, Hawaii",2
"Ewa Beach, Hi",1
"Excelsior, Minn.",2
"Exeter, Calif.",1
"Exeter, N.h.",1
"Exton, Pa",1
"Fair Lawn, Nj",2
"Fairbank, Iowa",1
"Fairbanks, Ak",1
"Fairbault, Minn.",1
"Fairborn, Ohio",1
"Fairburn, Ga",2
"Fairburn, Ga.",2
"Fairbury, Ne",1
"Fairbury, Neb.",1
"Fairfax Station, Va.",1
"Fairfax, Iowa",2
"Fairfax, Mo.",1
"Fairfax, Va",3
"Fairfax, Va.",7
"Fairfield, Calif.",2
"Fairfield, Conn.",2
"Fairfield, Ct",3
"Fairfield, Ill.",1
"Fairfield, Nj",1
"Fairfield, Ohio",3
"Fairfield, Pa",1
"Fairfield, Texas",2
"Fairhope, Ala.",1
"Fairhope, Alabama",1
"Fairibault, Minn.",1
"Fairmount, Ind.",1
"Fairport, N.y.",1
"Fairport, Ny",3
"Fairview, Or",1
"Fairview, Pa",1
"Fairview, Texas",1
"Falcon Heights, Minn.",1
"Falcon, Colo.",1
"Fall Creek, Wis.",2
"Fallbrook, Calif.",1
"Falling Waters, W.va.",1
"Falling Waters, Wv",2
"Falls Church, Va.",2
"Fancy Gap, Va.",1
"Far Rockaway, Ny",1
"Fargo, N.d.",4
"Fargo, Nd",1
"Faribault, Minn.",4
"Farina, Ill.",1
"Farmer City, Ill.",1
"Farmers Branch, Texas",1
"Farmersburg, Ind.",1
"Farmersville, Texas",1
"Farmingdale, N.y.",1
"Farmingdale, Ny",1
"Farmington, Ar",1
"Farmington, Mn",1
"Farmington, Mo.",2
"Farmington, N.m.",1
"Farmington, Utah",1
"Farmingville, Ny",1
"Farragut, Tenn.",1
"Farrell, Pa",1
"Fate, Tex.",1
"Fawn Grove, Pa.",1
"Fayette City, Pa",1
"Fayetteville,  Ga.",1
"Fayetteville, Ar",1
"Fayetteville, Ark.",4
"Fayetteville, Ga",1
"Fayetteville, Ga.",2
"Fayetteville, N.c.",4
"Fayetteville, N.y.",1
"Fayetteville, Nc",5
"Fayetteville, Ny",1
"Fayetteville, Pa",1
"Fayetteville, Pa.",1
"Fayetteville, Texas",1
"Fayettville, N.c.",1
"Feasterville, Pa",1
"Federal Way, Wa",1
"Federal Way, Wash.",1
"Feeding Hills, Mass.",2
"Fennimore, Wis.",2
"Fenton, Mich.",2
"Fenton, Missouri",1
"Fenton, Mo.",5
"Ferndale, Wa",1
"Festus, Mo.",3
Findlay,1
"Findlay, Ohio",1
"Firestone, Colo.",2
"Fishers, In",2
"Fishers, Ind.",10
"Fishers, Indiana",1
"Fisherville, Ky",1
"Fisherville, Ky,",1
"Fisherville, Ky.",1
"Fitchburg, Wi",1
"Fitchburg, Wis.",1
"Flat Rock, Mich.",1
"Fleetwood, Pa.",1
"Fleming Island, Fla.",2
"Fleming, Colo.",2
"Flemington, N.j.",1
"Flemington, Nj",3
"Fletcher, N.c.",5
"Flora, Ind.",1
"Flora, Miss.",1
"Florence, Ala.",1
"Florence, Ariz.",1
"Florence, Ky.",2
"Florence, S.c.",1
"Florida, N.y.",1
"Flourrisant, Mo.",1
"Flower Mound, Texas",8
"Flowery Branch, Ga.",6
"Floyd Knobs, Indiana",1
"Flushing, Mich.",1
"Fogelsville, Pa",1
"Fogelsville, Pa.",2
"Folsom, Ca",1
"Folsom, Calif.",1
"Fond Du Lac, Wis.",1
Fontana,1
"Fontana, Ca",3
"Fontana, Calif.",4
"Fontana, California",1
"Fontana, Wis.",1
"Foothill Ranch, Calif.",2
"Forest Hill, Md.",2
"Forest Hills, Ny",1
"Forest Hills, Pa",1
"Forest Lake, Minn.",4
"Forest, Va.",1
"Forney, Texas",5
"Forney, Tx",1
"Forreston, Ill.",2
"Forsyth, Il",2
"Forsyth, Ill.",3
"Fort Akinson, Wi",1
"Fort Atkinson, Wis.",1
"Fort Bridger, Wyo.",1
"Fort Collins, Colo.",8
"Fort Edward, N.y.",2
"Fort Gay, W.va.",1
"Fort Lauderdale, Fl",2
"Fort Lauderdale, Fla.",6
"Fort Lauerdale, Fl",1
"Fort Leonard Wood, Mo",1
"Fort Lupton, Colorado",1
Fort Mill Sc,1
"Fort Mill, S.c.",9
"Fort Mill, Sc",1
"Fort Mitchell, Kentucky",1
"Fort Mitchell, Ky.",2
"Fort Morgan, Colo.",1
Fort Myers High School,1
"Fort Myers, Fla.",9
"Fort Myers, Florida",1
"Fort Plain, Ny",1
"Fort Smith, Ar",1
"Fort Smith, Ark.",3
"Fort Stockton, Texas",1
"Fort Walton Beach, Fla.",1
"Fort Wayne, In",4
"Fort Wayne, Ind.",7
"Fort Worth, Texas",22
"Fort Worth, Tx",6
"Fort Worth,Texas",1
"Fosston, Minn.",1
"Foster City, Calif.",2
"Fostoria, Ohio",1
"Fountain Valley, Ca",1
"Fountain Valley, Calif.",5
"Fountain, Co",1
"Fowler, Kan.",1
"Fox Island, Wa",1
"Foxfield, Colo.",1
"Framingham, Mass.",1
"Frankfort, Ill.",3
"Frankfort, Ind.",2
"Frankfort, Ky",1
Franklin,1
"Franklin Lakes, N.j.",1
"Franklin Square, N.y.",1
"Franklin, Ind.",1
"Franklin, Mass.",1
"Franklin, Pa.",1
"Franklin, Tenn.",13
"Franklin, Tn",1
"Franklin, Wi",1
"Franklin, Wis.",1
"Franktown, Colo.",1
"Fraser, Mich.",1
"Frazier Park, Ca",1
"Frederick, Colo.",1
"Frederick, Md",2
"Frederick, Md.",4
"Fredericksburg, Texas",3
"Fredericksburg, Va",1
"Fredericksburg, Va.",3
"Frederiksted, Virgin Islands",1
"Fredonia, Wis.",1
"Fredricksburg, Va.",1
"Freeburg, Illinois",1
"Freedom, Wis.",3
"Freeport, Ill.",3
"Fremont, Mich.",2
"Fremont, Neb.",2
"Fremont, Ohio",1
Fresno,1
"Fresno, Ca",4
"Fresno, Calif.",6
"Fresno, California",1
"Fresno, Texas",3
"Friendswood, Texas",4
"Frisco, Texas",32
"Frisco, Tx",7
"Front Royal, Va.",2
"Frontenac, Kan.",1
"Fruitland, Idaho",1
"Ft. Lauderdale, Fl",1
"Ft. Recovery, Ohio",1
"Fullerton, Calif.",6
"Fulshear, Texas",3
"Fulshear, Tx",1
"Fulton, Ill.",3
"Fulton, Illinois",1
"Fulton, Md.",2
"Fulton, Ny",2
"Fultonville, N.y.",1
"Fults, Ill.",1
"Fuquay Varina, N.c.",1
"Fuquay, N.c.",1
"Gaffney, S.c.",2
"Gahanna, Ohio",2
"Gainesville, Fla.",6
"Gainesville, Florida",2
"Gainesville, Va.",2
"Gaithersburg, Maryland",1
"Gaithersburg, Md",1
"Gaithersburg, Md.",4
"Galena, Il",1
"Galena, Ill.",1
"Galena, Missouri",1
"Galena, Oh",1
"Galena, Ohio",1
"Galesburg, Ill.",1
"Galesburg, Illinois",2
"Galeton, Pa",1
"Galeton, Pa.",1
"Galion, Ohio",2
"Gallipolis, Ohio",1
"Galloway, N.j.",1
"Galloway, Ohio",2
"Galt, Calif.",2
"Galway, Ny",1
"Gansevoort, N.y.",1
"Gansevoort, Ny",1
"Garards Fort, Pa.",1
"Garden City South, N.y.",1
"Garden City, Kan.",1
"Gardena, Calif.",1
"Gardner, Kan.",2
"Garfield, Ark.",1
"Garland, Texas",7
"Garland, Tx",1
"Garnet Valley, Pa",1
"Garnet Valley, Pa.",1
"Garnett, Ks",1
"Garrett, Ind.",1
"Gary, Texas",1
"Gastonia, N.c.",1
"Gastonia, Nc",1
"Gates, Tenn.",1
"Gatesville, Nc",1
"Gatesville, Texas",1
"Gaylord, Mi",1
"Geismar, La.",2
"Geneseo, Ill.",1
"Geneseo, Ny",1
"Geneva, Fl",1
"Geneva, Ill.",2
"Geneva, Illinois",1
"Geneva, N.y.",1
"Geneva, Neb.",2
"Geneva,Ill.",1
"Genoa City, Wi",1
"Genoa, Il",1
"Genoa, Ill.",1
"Georgetown, Del.",2
"Georgetown, Kentucky",1
"Georgetown, Ky",2
"Georgetown, Ky.",1
"Georgetown, Mass.",1
"Georgetown, Texas",6
"Germantown Hills, Ill.",1
"Germantown, Md",1
"Germantown, Md.",4
"Germantown, Tenn.",1
"Germantown, Wis.",4
"Gervais, Ore.",1
"Gettysburg, Pa.",1
"Gibson City, Il",1
"Gibsonia, Pa",1
"Gibsonia, Pa.",1
"Gig Harbor, Wash.",2
"Gig Harbor, Washington",1
"Gilbert, Ariz.",17
"Gilbert, Arizona",1
"Gilbert, Az",1
"Gilbert, Az.",1
"Gilbert, Ill.",1
"Gilbert, Iowa",1
"Gilbert, Minn.",1
"Gilberts, Ill.",4
"Gillette, Wy",1
"Gillette, Wyo.",2
"Gilman, Wis.",1
"Gilroy, Calif.",2
"Girard, Kan.",1
"Girard, Ohio",1
"Gladstone, Mo.",1
"Glastonbury, Conn.",3
"Glen Allen, Va.",1
"Glen Burnie, Md",1
"Glen Ellyn, Il",2
"Glen Ellyn, Ill.",1
"Glen Mills, Pa",1
"Glen Mills, Pa.",2
"Glen Rock, Pa",1
"Glen Rose, Texas",2
"Glencoe, Al",1
"Glendale Heights, Il",1
"Glendale, Ariz.",7
"Glendale, Arizona",1
"Glendale, Az",1
"Glendale, Ca",1
"Glendale, Ny",1
"Glendale, Wis.",1
"Glendora, Calif.",1
"Glenelg, Md.",1
"Glenmoore, Pa.",1
"Glenn Heights, Texas",2
"Glenshaw, Pa.",1
"Glenview, Ill.",4
"Glenville, Ny",1
"Glenville, W.va.",1
"Glenwood, Ill.",1
"Glenwood, Iowa",2
"Glenwood, Md.",1
"Godley, Texas",1
"Godley, Tx",1
"Goffstown, N.h.",1
"Gold Canton, Az",1
"Golden Valley, Minn.",1
"Golden, Co",1
"Goldsboro, N.c.",2
"Goleta, Calif.",1
"Goliad, Texas",1
"Gonvick, Minn.",1
"Goode, Va.",1
"Goodhue, Minn.",1
"Goodland, Ks.",1
"Goodland, Minn.",1
"Goodlettsville, Tenn.",1
"Goodyear, Ariz.",7
"Goodyear, Az",1
"Goshen, Ind.",2
"Goshen, N.y.",2
"Goshen, Ohio",1
"Governador Valadares, Minas Gerais, Brasil",1
"Grafton, Iowa",1
"Grafton, Wis.",3
"Graham, N.c.",1
"Graham, Texas",1
"Graham, Wash.",1
"Granada Hills, Calif.",2
"Granby, Ma",1
"Granby, Mass.",1
"Grand Blanc, Mich.",1
"Grand Blanc, Michigan",1
"Grand Forks, N.d.",1
"Grand Haven, Mi",1
"Grand Haven, Mich.",2
"Grand Island, Neb.",1
"Grand Island, Nebraska",1
"Grand Island, Ny",2
"Grand Junction, Colo.",1
"Grand Meadow, Minn.",1
"Grand Meadow, Mn",1
"Grand Prairie, Texas",7
"Grand Prairie, Tx",4
"Grand Rapids, Mi",3
"Grand Rapids, Mich",2
"Grand Rapids, Mich.",11
"Grand Rapids, Minn.",3
"Grand Rapids, Mn",2
"Grand Terrace, Calif.",1
"Grand View, Texas",1
"Grandville, Mich.",1
"Grandy, N.c.",1
"Granger, Ind.",2
"Granger, Iowa",1
"Granite Bay, Calif.",1
"Granite Falls, Minn.",1
"Grant, Mi",1
"Grants Pass, Ore.",1
"Grantville, Pa",1
"Granville, Ohio",1
"Grapevine, Texas",5
"Grapevine, Tx",1
"Grayling, Mich.",1
"Grayslake, Ill.",2
"Grayville, Ill.",1
"Great Bend, Kan.",1
"Great Falls, Montana",1
"Great Falls, Mt",2
"Great Falls, Va.",1
Greater Latrobe High School,1
"Greeley, Col.",1
"Greeley, Colo.",4
"Green Bay, Wis.",7
"Green Oaks, Il",1
"Green, Oh",1
"Greenacres, Wash.",1
"Greenback, Tenn.",1
"Greenbrae, Calif.",3
"Greenbrier, Ark.",3
"Greenbrier, Arkansas",2
"Greencastle, In",2
"Greencastle, Pa",1
"Greencastle, Pa.",1
"Greendale, Wis.",2
"Greendale, Wisc.",1
"Greenfield, Ind.",2
"Greenfield, Wis.",1
"Greenfield, Wisc.",1
"Greenlawn, N.y.",1
"Greenlawn, Ny",1
"Greensboro, N.c.",11
"Greensboro, Pa.",1
"Greensburg, Ind.",2
"Greensburg, Ky.",1
"Greensburg, Pa",2
"Greensburg, Pa.",1
"Greenville, Del.",1
"Greenville, N.c.",1
"Greenville, Nc",1
"Greenville, Pa.",1
"Greenville, Sc",1
"Greenwich, Conn.",4
"Greenwood Village, Colo.",1
"Greenwood, Ar",2
"Greenwood, Arkansas",1
"Greenwood, Del.",1
"Greenwood, In",3
"Greenwood, In.",1
"Greenwood, Ind.",6
"Greenwood, Mo.",1
"Greer, S.c.",2
"Greer, Sc",1
"Gresham, Ore.",1
"Gretna, Neb.",2
"Griffin, Ga",1
"Griffin, Ga.",1
"Griffith, Ind.",1
"Grimes, Iowa",2
"Griswold, Conn.",1
"Grodno, Belarus",1
"Grosse Pointe Farms, Mich.",1
"Grosse Pointe, Mich.",2
"Grove City, Oh",2
"Grove City, Ohio",3
"Grove City, Pa.",2
"Grover, Nc",1
"Grundy Center, Iowa",2
"Guayama, Puerto Rico",1
"Guaynabo, P.r.",1
"Guaynabo, Pr",1
"Guaynabo, Puerto Rico",6
"Guckeen, Minn.",1
"Guelph, Canada",1
"Guilford, Conn.",1
"Gulf Breeze, Fla.",3
"Gulfport, Miss.",1
"Gunnison, Utah",1
"Gunter, Texas",2
"Gurabo, Pr",2
"Gurabo, Puerto Rico",1
"Gurnee, Ill.",4
"Gwinnett, Ga.",1
"Hackensack, Nj",1
"Hackettstown, N.j.",2
"Haddam, Conn.",2
"Hagerstown, Md",1
